"","log2FoldChange","padj","Factor"
"ko:K08056",-0.54525747664858,0.252163588508522,"Menthol_Menthol_vs_Control"
"ko:K08057",-0.970857953047368,0.000347771107667095,"Menthol_Menthol_vs_Control"
"ko:K08341",0.0472351478898552,0.91167403471404,"Menthol_Menthol_vs_Control"
"ko:K08515",0.00606820662817858,NA,"Menthol_Menthol_vs_Control"
"ko:K08516",-0.787815219716642,NA,"Menthol_Menthol_vs_Control"
"ko:K08548",-0.665838930944657,0.0488397116289467,"Menthol_Menthol_vs_Control"
"ko:K08568",-0.198091228052067,0.77627216230561,"Menthol_Menthol_vs_Control"
"ko:K08738",-0.071555357475699,0.790962300967678,"Menthol_Menthol_vs_Control"
"ko:K08762",-0.725452894431219,NA,"Menthol_Menthol_vs_Control"
"ko:K08764",0.843257213726454,0.015796681491791,"Menthol_Menthol_vs_Control"
"ko:K08794",-0.536813860874678,0.552746408410985,"Menthol_Menthol_vs_Control"
"ko:K08824",0.841929953562426,NA,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.799047876540571,0.305802904985839,"Menthol_Menthol_vs_Control"
"ko:K08872",0.196113616455145,0.790962300967678,"Menthol_Menthol_vs_Control"
"ko:K08957",0.108054445233068,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K08958",-0.18727936493481,0.825297722841131,"Menthol_Menthol_vs_Control"
"ko:K08967",-0.182666357603592,0.790962300967678,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.472920906783887,NA,"Menthol_Menthol_vs_Control"
"ko:K09398",-0.151316733785436,0.881258908013571,"Menthol_Menthol_vs_Control"
"ko:K09455",-0.378793557435549,0.425698199016483,"Menthol_Menthol_vs_Control"
"ko:K09481",-0.158087518276485,0.790962300967678,"Menthol_Menthol_vs_Control"
"ko:K09490",-1.47163769665854,0.0060284800951903,"Menthol_Menthol_vs_Control"
"ko:K09499",-0.498667036059767,0.586845957099501,"Menthol_Menthol_vs_Control"
"ko:K09567",-0.0176480254138491,0.965188879200481,"Menthol_Menthol_vs_Control"
"ko:K09568",-0.260033417989611,0.760215972636305,"Menthol_Menthol_vs_Control"
"ko:K09569",0.347820074522236,NA,"Menthol_Menthol_vs_Control"
"ko:K09570",0.255494543806651,NA,"Menthol_Menthol_vs_Control"
